id	label of real fact	text description	evidence in source	evidence in tgt	label in clinical prediction	label in real clinical	Clinical predicted fact(label in clinical prediction &label in real clinical )	label of real fact	result
1	positive	none	none	none	negative	negative	positive	positive	1
2	negative	conflict	ERAS benefits may translate even on the baby .	ERAS benefits may translate even on the outbreak of pre-existing micrometastases and the initiation of new metastases .	positive	negative	negative	negative	1
3	negative	conflict	The middle trapezius is primarily a medial stabilizer of the scapula . 	The middle trapezius is primarily a medial stabilizer of the humeral head 	positive	positive	positive	negative	0
4	negative	conflict	 17 patients -LRB- 58.6 % -RRB- required growth factor	26 patients -LRB- 58.6 % -RRB- required growth factor 	negative	positive	negative	negative	1
5	positive				positive	positive	positive	positive	1
6	negative	conflict	5-year LPFS , MMFS , PFS and OS were 87.0 % , 80.9 % , 69.8 % and 87.4 % 	 The 5-year overall survival , disease-free survival , and local control rate was 74 % , 50 % , and 86 % 	positive	negative	negative	negative	1
7	positive	none	none	none	positive	positive	positive	positive	1
8	positive	none			negative	negative	positive	positive	1
9	positive	none			positive	negative	negative	positive	0
10	negative	conflict	At 6 months , 17 % of the PAL group versus 30 % of the SVL group needed a prescription change -LRB- P = 0.0007 -RRB- , and , at 1 year , 43 % of the PAL group versus 59 % of the SVL group required a prescription change -LRB- P = 0.002 -RRB- . 	At 6 months , the SVL group -LRB- P < 0.001 -RRB- , and the axial length of eyes was significantly higher in the SVL group	positive	negative	negative	negative	1
11	negative	conflict	There was a nonsignificant trend toward a reduction in right atrial pressure -LRB- 9.2 + / - 3.9 vs. 11.2 + / - 4.1 , p = .08 -RRB- .	There was a nonsignificant trend toward patients with heart failure who were already receiving inotropic and diuretic therapy . Nesiritide was administered in an open-label study 	negative	negative	positive	negative	0
12	positive	none	none	none	negative	negative	positive	positive	1
13	positive	none	none	none	positive	positive	positive	positive	1
14	negative	conflict	N = 107	N = 115	negative	negative	positive	negative	0
15	positive	none	none	none	negative	negative	positive	positive	1
16	positive	none	none	none	positive	positive	positive	positive	1
17	negative	conflict	Vaginal douching and bacterial vaginosis were not associated with spontaneous preterm birth overall	Vaginal douching was not associated with a significant reduction in the prevalence of BV , and a mean reduction in women with the risk of HIV inflammatory disease compared with the control group 	negative	positive	negative	negative	1
18	positive	none	none	none	negative	negative	positive	positive	1
19	negative	conflict	 long-term paired associative stimulation induced persistent and clinically relevant strengthening of neural connections and restored voluntary movement in previously paralyzed muscles .	The tetraplegic patient regained in the human corticospinal tract is a result in human nerve stimulation	negative	positive	negative	negative	1
20	negative	conflict	placebo -LSB- hazard ratio = 1.8	; 6 % diarrhea -RRB- and hypertension -LRB- hazard ratio = 1.8 -LRB- 95 % CI 0.6-5.5 -RRB- 	negative	positive	negative	negative	1
21	negative	conflict	for hemorrhage after vaginal delivery was increased -LRB- OR = 1.29	but not statistically significant effect of the pregnancy of pregnancy -LRB- adjusted odds ratio = 1.29 	positive	negative	negative	negative	1
